ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN
1163807,31638,FAT
1410702,30466,PHX
1161802,31703,EWR
1289208,32575,LAX
1288903,32211,LAS
1477104,32457,SFO
1477104,32457,SFO
1486903,34614,SLC
1289208,32575,LAX
1289208,32575,LAX
1289208,32575,LAX
1490803,32575,SNA
1477104,32457,SFO
1489302,33192,SMF
1467903,33570,SAN
1467903,33570,SAN
1483106,32457,SJC
1080003,32575,BUR
1125904,30194,DAL
1477104,32457,SFO
1289208,32575,LAX
1483106,32457,SJC
1469802,34236,SBP
1489302,33192,SMF
1477104,32457,SFO
1289208,32575,LAX
1393007,30977,ORD
1247805,31703,JFK
1483106,32457,SJC
1298202,32982,LIH
1289208,32575,LAX
1226603,31453,IAH
1410702,30466,PHX
1129806,30194,DFW
1226603,31453,IAH
1469802,34236,SBP
1289208,32575,LAX
1379608,32457,OAK
1226603,31453,IAH
1467903,33570,SAN
1163807,31638,FAT
1486903,34614,SLC
1288903,32211,LAS
1298202,32982,LIH
1474703,30559,SEA
1289208,32575,LAX
1474703,30559,SEA
1129202,30325,DEN
1483106,32457,SJC
1379608,32457,OAK
1129202,30325,DEN
1486903,34614,SLC
1474703,30559,SEA
1226603,31453,IAH
1489302,33192,SMF
1477104,32457,SFO
1405702,34057,PDX
1389101,32575,ONT
1289208,32575,LAX
1379608,32457,OAK
1288903,32211,LAS
1247805,31703,JFK
1379608,32457,OAK
1477104,32457,SFO
1226603,31453,IAH
1289208,32575,LAX
1393007,30977,ORD
1490803,32575,SNA
1379608,32457,OAK
1477104,32457,SFO
1379608,32457,OAK
1477104,32457,SFO
1288903,32211,LAS
1226402,30852,IAD
1486903,34614,SLC
1289208,32575,LAX
1467903,33570,SAN
1289208,32575,LAX
1288903,32211,LAS
1226402,30852,IAD
1320402,31454,MCO
1039707,30397,ATL
1379608,32457,OAK
1104205,30647,CLE
1405702,34057,PDX
1467903,33570,SAN
1468305,33214,SAT
1486903,34614,SLC
1449202,34492,RDU
1289208,32575,LAX
1457002,34570,RNO
1125904,30194,DAL
1410702,30466,PHX
1477104,32457,SFO
1125904,30194,DAL
1489302,33192,SMF
1477104,32457,SFO
1289208,32575,LAX
1379608,32457,OAK
1477104,32457,SFO
