FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2019-08-01,OO,3139,11638,12892,1289208,32575,LAX,1215,1210,-5,31,1241,1324,14,1329,0,,0,209
2019-08-01,WN,2461,14107,14831,1483106,32457,SJC,1850,1912,22,7,1919,2044,4,2040,0,,0,621
2019-08-01,UA,703,11618,12892,1289208,32575,LAX,845,934,49,37,1011,1207,6,1136,0,,0,2454
2019-08-02,AA,2307,12892,12889,1288903,32211,LAS,1400,1438,38,31,1509,1550,5,1515,0,,0,236
2019-08-02,WN,742,12889,14679,1467903,33570,SAN,1830,1829,-1,21,1850,1937,2,1935,0,,0,258
2019-08-02,OO,5880,14771,14004,1400402,34004,PAE,1302,1304,2,29,1333,1512,5,1519,0,,0,710
2019-08-03,AS,383,14771,14057,1405702,34057,PDX,900,919,19,26,945,1102,4,1050,0,,0,550
2019-08-03,WN,4785,14869,14831,1483106,32457,SJC,640,636,-4,8,644,712,8,735,0,,0,584
2019-08-03,WN,5277,12892,14893,1489302,33192,SMF,955,954,-1,8,1002,1059,18,1120,0,,0,373
2019-08-04,UA,1295,12892,12982,1298202,32982,LIH,903,855,-8,34,929,1148,7,1159,0,,0,2615
2019-08-04,AA,205,12892,13830,1383002,33830,OGG,1425,1425,0,14,1439,1647,4,1702,0,,0,2486
2019-08-04,WN,5057,14908,13796,1379608,32457,OAK,1635,1656,21,10,1706,1800,3,1755,0,,0,371
2019-08-05,DL,613,14771,14869,1486903,34614,SLC,1852,1847,-5,25,1912,2128,9,2145,0,,0,599
2019-08-05,WN,1575,14893,14679,1467903,33570,SAN,1500,1501,1,8,1509,1620,2,1630,0,,0,480
2019-08-05,WN,2592,14679,11292,1129202,30325,DEN,2115,2132,17,11,2143,32,5,30,0,,0,853
2019-08-05,OO,3417,14679,13476,1347605,34922,MRY,900,848,-12,37,925,1023,4,1025,0,,0,375
2019-08-06,WN,930,14831,10713,1071302,30713,BOI,1015,1011,-4,11,1022,1230,2,1250,0,,0,523
2019-08-06,OO,5552,10800,11292,1129202,30325,DEN,1132,1131,-1,9,1140,1436,12,1500,0,,0,850
2019-08-06,WN,833,11259,14679,1467903,33570,SAN,2030,2028,-2,7,2035,2105,5,2125,0,,0,1182
2019-08-07,DL,2002,14771,14747,1474703,30559,SEA,1640,1714,34,19,1733,1905,8,1850,0,,0,679
2019-08-07,UA,661,12892,13930,1393007,30977,ORD,1645,1653,8,24,1717,2242,2,2248,0,,0,1744
2019-08-07,WN,188,14831,14908,1490803,32575,SNA,1730,1726,-4,9,1735,1838,4,1850,0,,0,342
2019-08-07,OO,3053,14698,14107,1410702,30466,PHX,612,746,94,18,804,915,5,757,0,,0,509
2019-08-08,WN,2038,14893,12892,1289208,32575,LAX,625,623,-2,13,636,743,6,755,0,,0,373
2019-08-08,UA,2036,14771,14057,1405702,34057,PDX,2100,2142,42,19,2201,2313,4,2250,0,,0,550
