ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID
11638,1163807
14107,1410702
11618,1161802
12892,1289208
12889,1288903
14771,1477104
14771,1477104
14869,1486903
12892,1289208
12892,1289208
12892,1289208
14908,1490803
14771,1477104
14893,1489302
14679,1467903
14679,1467903
14831,1483106
10800,1080003
11259,1125904
14771,1477104
12892,1289208
14831,1483106
14698,1469802
14893,1489302
14771,1477104
12892,1289208
13930,1393007
12478,1247805
14831,1483106
12982,1298202
12892,1289208
12266,1226603
14107,1410702
11298,1129806
12266,1226603
14698,1469802
12892,1289208
13796,1379608
12266,1226603
14679,1467903
11638,1163807
14869,1486903
12889,1288903
12982,1298202
14747,1474703
12892,1289208
14747,1474703
11292,1129202
14831,1483106
13796,1379608
11292,1129202
14869,1486903
14747,1474703
12266,1226603
14893,1489302
14771,1477104
14057,1405702
13891,1389101
12892,1289208
13796,1379608
12889,1288903
12478,1247805
13796,1379608
14771,1477104
12266,1226603
12892,1289208
13930,1393007
14908,1490803
13796,1379608
14771,1477104
13796,1379608
14771,1477104
12889,1288903
12264,1226402
14869,1486903
12892,1289208
14679,1467903
12892,1289208
12889,1288903
12264,1226402
13204,1320402
10397,1039707
13796,1379608
11042,1104205
14057,1405702
14679,1467903
14683,1468305
14869,1486903
14492,1449202
12892,1289208
14570,1457002
11259,1125904
14107,1410702
14771,1477104
11259,1125904
14893,1489302
14771,1477104
12892,1289208
13796,1379608
14771,1477104
