OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID
OO,20304
WN,19393
UA,19977
AA,19805
WN,19393
OO,20304
AS,19930
WN,19393
WN,19393
UA,19977
AA,19805
WN,19393
DL,19790
WN,19393
WN,19393
OO,20304
WN,19393
OO,20304
WN,19393
DL,19790
UA,19977
WN,19393
OO,20304
WN,19393
UA,19977
OO,20304
UA,19977
AA,19805
WN,19393
HA,19690
WN,19393
NK,20416
YV,20378
AA,19805
AA,19805
OO,20304
AS,19930
WN,19393
UA,19977
AA,19805
AA,19805
DL,19790
WN,19393
UA,19977
AS,19930
DL,19790
WN,19393
UA,19977
AS,19930
WN,19393
UA,19977
OO,20304
DL,19790
UA,19977
WN,19393
UA,19977
WN,19393
OO,20304
DL,19790
B6,20409
WN,19393
DL,19790
WN,19393
OO,20304
UA,19977
NK,20416
AA,19805
WN,19393
HA,19690
AS,19930
WN,19393
UA,19977
AS,19930
UA,19977
WN,19393
AA,19805
WN,19393
DL,19790
WN,19393
UA,19977
B6,20409
DL,19790
WN,19393
UA,19977
AS,19930
WN,19393
OO,20304
DL,19790
AA,19805
WN,19393
OO,20304
WN,19393
AA,19805
UA,19977
WN,19393
WN,19393
AA,19805
AS,19930
WN,19393
UA,19977
